
# Surface 0 of 1 surfaces

# Curve title: "'data.txt'"

# IsoCurve 0, 100 points
# x y z type
 97  2  1.05879e-18 o
 97  3  0 o
 97  4 -5.29396e-19 o
 97  5  1.58819e-18 o
 97  6 -3.97047e-19 o
 97  7 -2.64698e-19 o
 97  8 -2.68007e-18 o
 97  9 -4.13549e-17 o
 97  10 -5.56974e-16 o
 97  11 -6.46097e-15 o
 97  12 -6.46944e-14 o
 97  13 -5.61708e-13 o
 97  14 -4.24725e-12 o
 97  15 -2.80721e-11 o
 97  16 -1.62692e-10 o
 97  17 -8.28814e-10 o
 97  18 -3.71816e-09 o
 97  19 -1.47034e-08 o
 97  20 -5.12587e-08 o
 97  21 -1.5737e-07 o
 97  22 -4.24375e-07 o
 97  23 -1.00029e-06 o
 97  24 -2.04317e-06 o
 97  25 -3.56047e-06 o
 97  26 -5.13122e-06 o
 97  27 -5.66853e-06 o
 97  28 -3.56591e-06 o
 97  29  2.47244e-06 o
 97  30  1.20673e-05 o
 97  31  2.21692e-05 o
 97  32  2.76458e-05 o
 97  33  2.36161e-05 o
 97  34  8.54433e-06 o
 97  35 -1.36609e-05 o
 97  36 -3.35048e-05 o
 97  37 -3.9976e-05 o
 97  38 -2.93723e-05 o
 97  39 -8.05849e-06 o
 97  40  1.47266e-05 o
 97  41  2.51991e-05 o
 97  42  3.60185e-06 o
 97  43 -2.58558e-05 o
 97  44  1.57366e-05 o
 97  45  7.38838e-05 o
 97  46 -9.77068e-05 o
 97  47 -0.000437044 o
 97  48 -0.000334593 o
 97  49  0.00039758 o
 97  50  0.000867996 o
 97  51  0.00039758 o
 97  52 -0.000334593 o
 97  53 -0.000437044 o
 97  54 -9.77068e-05 o
 97  55  7.38838e-05 o
 97  56  1.57366e-05 o
 97  57 -2.58558e-05 o
 97  58  3.60185e-06 o
 97  59  2.51991e-05 o
 97  60  1.47266e-05 o
 97  61 -8.05849e-06 o
 97  62 -2.93723e-05 o
 97  63 -3.9976e-05 o
 97  64 -3.35048e-05 o
 97  65 -1.36609e-05 o
 97  66  8.54433e-06 o
 97  67  2.36161e-05 o
 97  68  2.76458e-05 o
 97  69  2.21692e-05 o
 97  70  1.20673e-05 o
 97  71  2.47244e-06 o
 97  72 -3.56591e-06 o
 97  73 -5.66853e-06 o
 97  74 -5.13122e-06 o
 97  75 -3.56047e-06 o
 97  76 -2.04317e-06 o
 97  77 -1.00029e-06 o
 97  78 -4.24375e-07 o
 97  79 -1.5737e-07 o
 97  80 -5.12587e-08 o
 97  81 -1.47034e-08 o
 97  82 -3.71816e-09 o
 97  83 -8.28814e-10 o
 97  84 -1.62692e-10 o
 97  85 -2.80721e-11 o
 97  86 -4.24725e-12 o
 97  87 -5.61708e-13 o
 97  88 -6.46946e-14 o
 97  89 -6.46117e-15 o
 97  90 -5.56814e-16 o
 97  91 -4.16012e-17 o
 97  92 -2.19657e-18 o
 97  93  4.29585e-20 o
 97  94  2.47346e-19 o
 97  95 -9.2851e-19 o
 97  96  3.20532e-20 o
 97  97 -1.0257e-18 o
 97  98 -1.63368e-18 o
 97  99 -2.38228e-18 o

# IsoCurve 3, 100 points
# x y z type
 96  0  3.97047e-19 o
 96  1  9.92617e-19 o
 96  2 -1.05879e-18 o
 96  3  2.64698e-19 o
 96  4  5.29396e-19 o
 96  5  1.58819e-18 o
 96  6  2.64698e-19 o
 96  7 -2.51463e-18 o
 96  8 -4.81088e-17 o
 96  9 -6.58105e-16 o
 96  10 -7.77384e-15 o
 96  11 -7.89495e-14 o
 96  12 -6.93077e-13 o
 96  13 -5.28227e-12 o
 96  14 -3.50837e-11 o
 96  15 -2.03704e-10 o
 96  16 -1.03651e-09 o
 96  17 -4.63005e-09 o
 96  18 -1.81731e-08 o
 96  19 -6.26713e-08 o
 96  20 -1.89636e-07 o
 96  21 -5.01932e-07 o
 96  22 -1.15545e-06 o
 96  23 -2.28986e-06 o
 96  24 -3.83344e-06 o
 96  25 -5.2117e-06 o
 96  26 -5.18065e-06 o
 96  27 -2.15824e-06 o
 96  28  4.72858e-06 o
 96  29  1.43022e-05 o
 96  30  2.27102e-05 o
 96  31  2.44328e-05 o
 96  32  1.52652e-05 o
 96  33 -4.14145e-06 o
 96  34 -2.6435e-05 o
 96  35 -3.9851e-05 o
 96  36 -3.40309e-05 o
 96  37 -7.02615e-06 o
 96  38  2.68725e-05 o
 96  39  4.27472e-05 o
 96  40  3.23347e-05 o
 96  41  9.11419e-06 o
 96  42 -2.99096e-05 o
 96  43 -7.34996e-05 o
 96  44 -2.73703e-05 o
 96  45  7.98203e-05 o
 96  46 -8.98276e-05 o
 96  47 -0.000544343 o
 96  48 -0.00044807 o
 96  49  0.000558764 o
 96  50  0.00122841 o
 96  51  0.000558764 o
 96  52 -0.00044807 o
 96  53 -0.000544343 o
 96  54 -8.98276e-05 o
 96  55  7.98203e-05 o
 96  56 -2.73703e-05 o
 96  57 -7.34996e-05 o
 96  58 -2.99096e-05 o
 96  59  9.11419e-06 o
 96  60  3.23347e-05 o
 96  61  4.27472e-05 o
 96  62  2.68725e-05 o
 96  63 -7.02615e-06 o
 96  64 -3.40309e-05 o
 96  65 -3.9851e-05 o
 96  66 -2.6435e-05 o
 96  67 -4.14145e-06 o
 96  68  1.52652e-05 o
 96  69  2.44328e-05 o
 96  70  2.27102e-05 o
 96  71  1.43022e-05 o
 96  72  4.72858e-06 o
 96  73 -2.15824e-06 o
 96  74 -5.18065e-06 o
 96  75 -5.2117e-06 o
 96  76 -3.83344e-06 o
 96  77 -2.28986e-06 o
 96  78 -1.15545e-06 o
 96  79 -5.01932e-07 o
 96  80 -1.89636e-07 o
 96  81 -6.26713e-08 o
 96  82 -1.81731e-08 o
 96  83 -4.63005e-09 o
 96  84 -1.03651e-09 o
 96  85 -2.03704e-10 o
 96  86 -3.50837e-11 o
 96  87 -5.28227e-12 o
 96  88 -6.93077e-13 o
 96  89 -7.89493e-14 o
 96  90 -7.77362e-15 o
 96  91 -6.58383e-16 o
 96  92 -4.77553e-17 o
 96  93 -2.91298e-18 o
 96  94 -1.03495e-19 o
 96  95 -9.57413e-19 o
 96  96 -4.67099e-19 o
 96  97 -1.75336e-18 o
 96  98  1.98523e-19 o
 96  99 -1.75776e-19 o

# IsoCurve 4, 100 points
# x y z type
 95  0  6.36929e-19 o
 95  1 -5.29396e-19 o
 95  2 -2.64698e-19 o
 95  3  1.58819e-18 o
 95  4  0 o
 95  5  5.29396e-19 i
 95  6 -1.58819e-18 i
 95  7 -5.18808e-17 i
 95  8 -7.32154e-16 i
 95  9 -8.8236e-15 i
 95  10 -9.1157e-14 i
 95  11 -8.11406e-13 i
 95  12 -6.25043e-12 i
 95  13 -4.18281e-11 i
 95  14 -2.43946e-10 i
 95  15 -1.24297e-09 i
 95  16 -5.5426e-09 i
 95  17 -2.16474e-08 i
 95  18 -7.40343e-08 i
 95  19 -2.21355e-07 i
 95  20 -5.76535e-07 i
 95  21 -1.29954e-06 i
 95  22 -2.50518e-06 i
 95  23 -4.03812e-06 i
 95  24 -5.17869e-06 i
 95  25 -4.55026e-06 i
 95  26 -6.23441e-07 i
 95  27  7.06826e-06 i
 95  28  1.65511e-05 i
 95  29  2.3108e-05 i
 95  30  2.11322e-05 i
 95  31  7.51588e-06 i
 95  32 -1.47823e-05 i
 95  33 -3.56014e-05 i
 95  34 -4.14744e-05 i
 95  35 -2.50419e-05 i
 95  36  6.90847e-06 i
 95  37  3.86777e-05 i
 95  38  5.47093e-05 i
 95  39  4.39484e-05 i
 95  40  1.70175e-05 i
 95  41  8.28021e-06 i
 95  42  1.138e-05 i
 95  43 -1.22094e-05 i
 95  44  1.86791e-05 i
 95  45  0.000141148 i
 95  46 -1.9981e-05 i
 95  47 -0.000590938 i
 95  48 -0.000570985 i
 95  49  0.000626823 i
 95  50  0.00146493 i
 95  51  0.000626823 i
 95  52 -0.000570985 i
 95  53 -0.000590938 i
 95  54 -1.9981e-05 i
 95  55  0.000141148 i
 95  56  1.86791e-05 i
 95  57 -1.22094e-05 i
 95  58  1.138e-05 i
 95  59  8.28021e-06 i
 95  60  1.70175e-05 i
 95  61  4.39484e-05 i
 95  62  5.47093e-05 i
 95  63  3.86777e-05 i
 95  64  6.90847e-06 i
 95  65 -2.50419e-05 i
 95  66 -4.14744e-05 i
 95  67 -3.56014e-05 i
 95  68 -1.47823e-05 i
 95  69  7.51588e-06 i
 95  70  2.11322e-05 i
 95  71  2.3108e-05 i
 95  72  1.65511e-05 i
 95  73  7.06826e-06 i
 95  74 -6.23441e-07 i
 95  75 -4.55026e-06 i
 95  76 -5.17869e-06 i
 95  77 -4.03812e-06 i
 95  78 -2.50518e-06 i
 95  79 -1.29954e-06 i
 95  80 -5.76535e-07 i
 95  81 -2.21355e-07 i
 95  82 -7.40343e-08 i
 95  83 -2.16474e-08 i
 95  84 -5.5426e-09 i
 95  85 -1.24297e-09 i
 95  86 -2.43946e-10 i
 95  87 -4.18281e-11 i
 95  88 -6.25043e-12 i
 95  89 -8.11406e-13 i
 95  90 -9.11577e-14 i
 95  91 -8.82346e-15 i
 95  92 -7.32676e-16 i
 95  93 -5.13752e-17 i
 95  94 -2.58033e-18 i
 95  95  3.1777e-18 i
 95  96  6.10288e-20 o
 95  97 -2.00333e-18 o
 95  98 -2.79949e-19 o
 95  99 -2.64698e-19 o

# IsoCurve 5, 100 points
# x y z type
 94  0 -3.63959e-19 o
 94  1 -4.96308e-19 o
 94  2 -5.29396e-19 o
 94  3 -2.64698e-19 o
 94  4 -2.64698e-19 o
 94  5 -3.17637e-18 i
 94  6 -5.29396e-17 i
 94  7 -7.66565e-16 i
 94  8 -9.46156e-15 i
 94  9 -9.97458e-14 i
 94  10 -9.0298e-13 i
 94  11 -7.05109e-12 i
 94  12 -4.76788e-11 i
 94  13 -2.80084e-10 i
 94  14 -1.43295e-09 i
 94  15 -6.39567e-09 i
 94  16 -2.49221e-08 i
 94  17 -8.47538e-08 i
 94  18 -2.51071e-07 i
 94  19 -6.45281e-07 i
 94  20 -1.4282e-06 i
 94  21 -2.68542e-06 i
 94  22 -4.17657e-06 i
 94  23 -5.05047e-06 i
 94  24 -3.84844e-06 i
 94  25  8.30102e-07 i
 94  26  8.99523e-06 i
 94  27  1.80629e-05 i
 94  28  2.29778e-05 i
 94  29  1.83175e-05 i
 94  30  2.29513e-06 i
 94  31 -2.00495e-05 i
 94  32 -3.73927e-05 i
 94  33 -3.76961e-05 i
 94  34 -1.65295e-05 i
 94  35  1.75779e-05 i
 94  36  4.57919e-05 i
 94  37  5.67299e-05 i
 94  38  5.75335e-05 i
 94  39  5.37775e-05 i
 94  40  4.77731e-05 i
 94  41  7.14289e-05 i
 94  42  0.000131747 i
 94  43  0.0001518 i
 94  44  0.00015651 i
 94  45  0.000249276 i
 94  46  0.00011697 i
 94  47 -0.000478879 i
 94  48 -0.000517818 i
 94  49  0.000778187 i
 94  50  0.00172361 i
 94  51  0.000778187 i
 94  52 -0.000517818 i
 94  53 -0.000478879 i
 94  54  0.00011697 i
 94  55  0.000249276 i
 94  56  0.00015651 i
 94  57  0.0001518 i
 94  58  0.000131747 i
 94  59  7.14289e-05 i
 94  60  4.77731e-05 i
 94  61  5.37775e-05 i
 94  62  5.75335e-05 i
 94  63  5.67299e-05 i
 94  64  4.57919e-05 i
 94  65  1.75779e-05 i
 94  66 -1.65295e-05 i
 94  67 -3.76961e-05 i
 94  68 -3.73927e-05 i
 94  69 -2.00495e-05 i
 94  70  2.29513e-06 i
 94  71  1.83175e-05 i
 94  72  2.29778e-05 i
 94  73  1.80629e-05 i
 94  74  8.99523e-06 i
 94  75  8.30102e-07 i
 94  76 -3.84844e-06 i
 94  77 -5.05047e-06 i
 94  78 -4.17657e-06 i
 94  79 -2.68542e-06 i
 94  80 -1.4282e-06 i
 94  81 -6.45281e-07 i
 94  82 -2.51071e-07 i
 94  83 -8.47538e-08 i
 94  84 -2.49221e-08 i
 94  85 -6.39567e-09 i
 94  86 -1.43295e-09 i
 94  87 -2.80084e-10 i
 94  88 -4.76788e-11 i
 94  89 -7.05109e-12 i
 94  90 -9.0298e-13 i
 94  91 -9.97458e-14 i
 94  92 -9.46083e-15 i
 94  93 -7.66057e-16 i
 94  94 -5.41774e-17 i
 94  95 -2.5175e-18 i
 94  96 -2.8594e-18 o
 94  97 -2.599e-19 o
 94  98 -5.27845e-19 o
 94  99 -1.37519e-19 o

# IsoCurve 6, 100 points
# x y z type
 93  0 -2.0938e-19 o
 93  1  3.39144e-19 o
 93  2 -3.97047e-19 o
 93  3 -3.30872e-19 o
 93  4 -2.51463e-18 o
 93  5 -5.0822e-17 i
 93  6 -7.57036e-16 i
 93  7 -9.59185e-15 i
 93  8 -1.03543e-13 i
 93  9 -9.56429e-13 i
 93  10 -7.59453e-12 i
 93  11 -5.20474e-11 i
 93  12 -3.08873e-10 i
 93  13 -1.59127e-09 i
 93  14 -7.12908e-09 i
 93  15 -2.77943e-08 i
 93  16 -9.42534e-08 i
